Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit
1.0,337.0,118.0,4.0,4.5,4.5,9.65,1.0,0.92
2.0,324.0,107.0,4.0,4.0,4.5,8.87,1.0,0.76
3.0,316.0,104.0,3.0,3.0,3.5,8.0,1.0,0.72
4.0,322.0,110.0,3.0,3.5,2.5,8.67,1.0,0.8
5.0,314.0,103.0,2.0,2.0,3.0,8.21,0.0,0.65
6.0,330.0,115.0,5.0,4.5,3.0,9.34,1.0,0.9
7.0,321.0,109.0,3.0,3.0,4.0,8.2,1.0,0.75
8.0,308.0,101.0,2.0,3.0,4.0,7.9,0.0,0.68
9.0,302.0,102.0,1.0,2.0,1.5,8.0,0.0,0.5
10.0,323.0,108.0,3.0,3.5,3.0,8.6,0.0,0.45
11.0,325.0,106.0,3.0,3.5,4.0,8.4,1.0,0.52
12.0,327.0,111.0,4.0,4.0,4.5,9.0,1.0,0.84
13.0,328.0,112.0,4.0,4.0,4.5,9.1,1.0,0.78
14.0,307.0,109.0,3.0,4.0,3.0,8.0,1.0,0.62
15.0,311.0,104.0,3.0,3.5,2.0,8.2,1.0,0.61
16.0,314.0,105.0,3.0,3.5,2.5,8.3,0.0,0.54
17.0,317.0,107.0,3.0,4.0,3.0,8.7,0.0,0.66
18.0,319.0,106.0,3.0,4.0,3.0,8.0,1.0,0.65
19.0,318.0,110.0,3.0,4.0,3.0,8.8,0.0,0.63
20.0,303.0,102.0,3.0,3.5,3.0,8.5,0.0,0.62
21.0,312.0,107.0,3.0,3.0,2.0,7.9,1.0,0.64
22.0,325.0,114.0,4.0,3.0,2.0,8.4,0.0,0.7
23.0,328.0,116.0,5.0,5.0,5.0,9.5,1.0,0.94
24.0,334.0,119.0,5.0,5.0,4.5,9.7,1.0,0.95
25.0,336.0,119.0,5.0,4.0,3.5,9.8,1.0,0.97
26.0,340.0,120.0,5.0,4.5,4.5,9.6,1.0,0.94
27.0,322.0,109.0,5.0,4.5,3.5,8.8,0.0,0.76
28.0,298.0,98.0,2.0,1.5,2.5,7.5,1.0,0.44
29.0,295.0,93.0,1.0,2.0,2.0,7.2,0.0,0.46
30.0,310.0,99.0,2.0,1.5,2.0,7.3,0.0,0.54
31.0,300.0,97.0,2.0,3.0,3.0,8.1,1.0,0.65
32.0,327.0,103.0,3.0,4.0,4.0,8.3,1.0,0.74
33.0,338.0,118.0,4.0,3.0,4.5,9.4,1.0,0.91
34.0,340.0,114.0,5.0,4.0,4.0,9.6,1.0,0.9
35.0,331.0,112.0,5.0,4.0,5.0,9.8,1.0,0.94
36.0,320.0,110.0,5.0,5.0,5.0,9.2,1.0,0.88
37.0,299.0,106.0,2.0,4.0,4.0,8.4,0.0,0.64
38.0,300.0,105.0,1.0,1.0,2.0,7.8,0.0,0.58
39.0,304.0,105.0,1.0,3.0,1.5,7.5,0.0,0.52
40.0,307.0,108.0,2.0,4.0,3.5,7.7,0.0,0.48
41.0,308.0,110.0,3.0,3.5,3.0,8.0,1.0,0.46
42.0,316.0,105.0,2.0,2.5,2.5,8.2,1.0,0.49
43.0,313.0,107.0,2.0,2.5,2.0,8.5,1.0,0.53
44.0,332.0,117.0,4.0,4.5,4.0,9.1,0.0,0.87
45.0,326.0,113.0,5.0,4.5,4.0,9.4,1.0,0.91
46.0,322.0,110.0,5.0,5.0,4.0,9.1,1.0,0.88
47.0,329.0,114.0,5.0,4.0,5.0,9.3,1.0,0.86
48.0,339.0,119.0,5.0,4.5,4.0,9.7,0.0,0.89
49.0,321.0,110.0,3.0,3.5,5.0,8.85,1.0,0.82
50.0,327.0,111.0,4.0,3.0,4.0,8.4,1.0,0.78
51.0,313.0,98.0,3.0,2.5,4.5,8.3,1.0,0.76
52.0,312.0,100.0,2.0,1.5,3.5,7.9,1.0,0.56
53.0,334.0,116.0,4.0,4.0,3.0,8.0,1.0,0.78
54.0,324.0,112.0,4.0,4.0,2.5,8.1,1.0,0.72
55.0,322.0,110.0,3.0,3.0,3.5,8.0,0.0,0.7
56.0,320.0,103.0,3.0,3.0,3.0,7.7,0.0,0.64
57.0,316.0,102.0,3.0,2.0,3.0,7.4,0.0,0.64
58.0,298.0,99.0,2.0,4.0,2.0,7.6,0.0,0.46
59.0,300.0,99.0,1.0,3.0,2.0,6.8,1.0,0.36
60.0,311.0,104.0,2.0,2.0,2.0,8.3,0.0,0.42
61.0,309.0,100.0,2.0,3.0,3.0,8.1,0.0,0.48
62.0,307.0,101.0,3.0,4.0,3.0,8.2,0.0,0.47
63.0,304.0,105.0,2.0,3.0,3.0,8.2,1.0,0.54
64.0,315.0,107.0,2.0,4.0,3.0,8.5,1.0,0.56
65.0,325.0,111.0,3.0,3.0,3.5,8.7,0.0,0.52
66.0,325.0,112.0,4.0,3.5,3.5,8.92,0.0,0.55
67.0,327.0,114.0,3.0,3.0,3.0,9.02,0.0,0.61
68.0,316.0,107.0,2.0,3.5,3.5,8.64,1.0,0.57
69.0,318.0,109.0,3.0,3.5,4.0,9.22,1.0,0.68
70.0,328.0,115.0,4.0,4.5,4.0,9.16,1.0,0.78
71.0,332.0,118.0,5.0,5.0,5.0,9.64,1.0,0.94
72.0,336.0,112.0,5.0,5.0,5.0,9.76,1.0,0.96
73.0,321.0,111.0,5.0,5.0,5.0,9.45,1.0,0.93
74.0,314.0,108.0,4.0,4.5,4.0,9.04,1.0,0.84
75.0,314.0,106.0,3.0,3.0,5.0,8.9,0.0,0.74
76.0,329.0,114.0,2.0,2.0,4.0,8.56,1.0,0.72
77.0,327.0,112.0,3.0,3.0,3.0,8.72,1.0,0.74
78.0,301.0,99.0,2.0,3.0,2.0,8.22,0.0,0.64
79.0,296.0,95.0,2.0,3.0,2.0,7.54,1.0,0.44
80.0,294.0,93.0,1.0,1.5,2.0,7.36,0.0,0.46
81.0,312.0,105.0,3.0,2.0,3.0,8.02,1.0,0.5
82.0,340.0,120.0,4.0,5.0,5.0,9.5,1.0,0.96
83.0,320.0,110.0,5.0,5.0,4.5,9.22,1.0,0.92
84.0,322.0,115.0,5.0,4.0,4.5,9.36,1.0,0.92
85.0,340.0,115.0,5.0,4.5,4.5,9.45,1.0,0.94
